signal_date,execution_date,regime,breadth,stress,drawdown_brake,targets,equity_before,equity_after
2001-01-01T00:00:00,2001-02-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2001-02-01T00:00:00,2001-03-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2001-03-01T00:00:00,2001-04-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2001-04-01T00:00:00,2001-05-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2001-05-01T00:00:00,2001-06-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2001-06-01T00:00:00,2001-07-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2001-07-01T00:00:00,2001-08-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2001-08-01T00:00:00,2001-09-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2001-09-01T00:00:00,2001-10-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2001-10-01T00:00:00,2001-11-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2001-11-01T00:00:00,2001-12-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2001-12-01T00:00:00,2002-01-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2002-01-01T00:00:00,2002-02-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2002-02-01T00:00:00,2002-03-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2002-03-01T00:00:00,2002-04-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2002-04-01T00:00:00,2002-05-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2002-05-01T00:00:00,2002-06-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2002-06-01T00:00:00,2002-07-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2002-07-01T00:00:00,2002-08-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2002-08-01T00:00:00,2002-09-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2002-09-01T00:00:00,2002-10-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2002-10-01T00:00:00,2002-11-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2002-11-01T00:00:00,2002-12-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2002-12-01T00:00:00,2003-01-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2003-01-01T00:00:00,2003-02-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2003-02-01T00:00:00,2003-03-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2003-03-01T00:00:00,2003-04-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2003-04-01T00:00:00,2003-05-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2003-05-01T00:00:00,2003-06-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2003-06-01T00:00:00,2003-07-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2003-07-01T00:00:00,2003-08-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2003-08-01T00:00:00,2003-09-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2003-09-01T00:00:00,2003-10-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2003-10-01T00:00:00,2003-11-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2003-11-01T00:00:00,2003-12-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2003-12-01T00:00:00,2004-01-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2004-01-01T00:00:00,2004-02-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2004-02-01T00:00:00,2004-03-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2004-03-01T00:00:00,2004-04-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2004-04-01T00:00:00,2004-05-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2004-05-01T00:00:00,2004-06-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2004-06-01T00:00:00,2004-07-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2004-07-01T00:00:00,2004-08-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2004-08-01T00:00:00,2004-09-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2004-09-01T00:00:00,2004-10-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2004-10-01T00:00:00,2004-11-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2004-11-01T00:00:00,2004-12-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2004-12-01T00:00:00,2005-01-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2005-01-01T00:00:00,2005-02-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2005-02-01T00:00:00,2005-03-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2005-03-01T00:00:00,2005-04-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2005-04-01T00:00:00,2005-05-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2005-05-01T00:00:00,2005-06-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2005-06-01T00:00:00,2005-07-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2005-07-01T00:00:00,2005-08-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2005-08-01T00:00:00,2005-09-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2005-09-01T00:00:00,2005-10-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2005-10-01T00:00:00,2005-11-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2005-11-01T00:00:00,2005-12-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2005-12-01T00:00:00,2006-01-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2006-01-01T00:00:00,2006-02-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2006-02-01T00:00:00,2006-03-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2006-03-01T00:00:00,2006-04-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2006-04-01T00:00:00,2006-05-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2006-05-01T00:00:00,2006-06-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2006-06-01T00:00:00,2006-07-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2006-07-01T00:00:00,2006-08-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2006-08-01T00:00:00,2006-09-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2006-09-01T00:00:00,2006-10-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2006-10-01T00:00:00,2006-11-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2006-11-01T00:00:00,2006-12-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2006-12-01T00:00:00,2007-01-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2007-01-01T00:00:00,2007-02-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2007-02-01T00:00:00,2007-03-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2007-03-01T00:00:00,2007-04-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2007-04-01T00:00:00,2007-05-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2007-05-01T00:00:00,2007-06-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2007-06-01T00:00:00,2007-07-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2007-07-01T00:00:00,2007-08-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2007-08-01T00:00:00,2007-09-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2007-09-01T00:00:00,2007-10-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2007-10-01T00:00:00,2007-11-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2007-11-01T00:00:00,2007-12-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2007-12-01T00:00:00,2008-01-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2008-01-01T00:00:00,2008-02-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2008-02-01T00:00:00,2008-03-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2008-03-01T00:00:00,2008-04-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2008-04-01T00:00:00,2008-05-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2008-05-01T00:00:00,2008-06-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
2008-06-01T00:00:00,2008-07-01T00:00:00,BEAR,0.0,False,NONE,{},1500.0,1500.0
